DMA (as appears in various data files),"""Master"" DMA",Test
Flint MI,Flint MI,
Flint/Saginaw/Bay City,Flint MI,
FLINT-SAGINAW-BAY CITY,Flint MI,
Flint-Saginaw-Bay City MI,Flint MI,
Florence/Myrtle Beach,Myrtle Beach-Florence,
Florence-Myrtle Beach SC,Myrtle Beach-Florence,
Fort Myers/Naples,Ft. Myers-Naples,
Fort Smith/Fayetteville/Springdale/Rogers,Ft. Smith-Fay-Sprngdl-Rgrs,
Fort Wayne,Ft. Wayne,
Fresno/Visalia,Fresno-Visalia,
Fresno-Visalia,Fresno-Visalia,
FRESNO-VISALIA,Fresno-Visalia,
Fresno-Visalia CA,Fresno-Visalia,
Ft Smith-Springdale AR,Ft. Smith-Fay-Sprngdl-Rgrs,
Ft. Myers-Naples,Ft. Myers-Naples,
FT. MYERS-NAPLES,Ft. Myers-Naples,
Ft. Myers-Naples FL,Ft. Myers-Naples,
Ft. Smith-Fay-Sprngdl-Rgrs,Ft. Smith-Fay-Sprngdl-Rgrs,
FT. SMITH-FAY-SPRNGDL-RGRS,Ft. Smith-Fay-Sprngdl-Rgrs,
Ft. Wayne,Ft. Wayne,
FT. WAYNE,Ft. Wayne,
Ft. Wayne IN,Ft. Wayne,
Gainesville,Gainesville,
GAINESVILLE,Gainesville,
Gainesville FL,Gainesville,
Glendive,Glendive,
GLENDIVE,Glendive,
Glendive MT,Glendive,
Grand Junction/Montrose,Grand Junction-Montrose,
Grand Junction-Montrose,Grand Junction-Montrose,
GRAND JUNCTION-MONTROSE,Grand Junction-Montrose,
Grand Junction-Montrose CO,Grand Junction-Montrose,
Grand Rapids MI,Grand Rapids MI,
Grand Rapids/Kalamazoo/Battle Creek,Grand Rapids MI,
Grand Rapids-Kalamazoo MI,Grand Rapids MI,
GRAND RAPIDS-KALMZOO-B.CRK,Grand Rapids MI,
Great Falls,Great Falls,
GREAT FALLS,Great Falls,
Great Falls MT,Great Falls,
Green Bay/Appleton,Green Bay-Appleton,
Green Bay-Appleton,Green Bay-Appleton,
GREEN BAY-APPLETON,Green Bay-Appleton,
Green Bay-Appleton WI,Green Bay-Appleton,
Greensboro/High Point/Winston-Salem,Greensboro-H.Point-W.Salem,
Greensboro-H.Point-W.Salem,Greensboro-H.Point-W.Salem,
GREENSBORO-H.POINT-W.SALEM,Greensboro-H.Point-W.Salem,
Greensboro-Winston Salem NC,Greensboro-H.Point-W.Salem,
Greenville NC,Greenville NC,
Greenville/New Bern/Washington,Greenville NC,
Greenville/Spartanburg/Asheville/Anderson,Greenvll-Spart-Ashevll-And,
GREENVILLE-N.BERN-WASHNGTN,Greenville NC,
Greenville-New Bern-Washington NC,Greenville NC,
Greenville-Spartanburg SC,Greenvll-Spart-Ashevll-And,
Greenvll-Spart-Ashevll-And,Greenvll-Spart-Ashevll-And,
GREENVLL-SPART-ASHEVLL-AND,Greenvll-Spart-Ashevll-And,
Greenwood/Greenville,Greenwood-Greenville,
Greenwood-Greenville,Greenwood-Greenville,
GREENWOOD-GREENVILLE,Greenwood-Greenville,
Greenwood-Greenville MS,Greenwood-Greenville,
Harlingen/Weslaco/Brownsville/Mcallen,Harlingen-Wslco-Brnsvl-McA,
Harlingen-Weslaco-McAllen TX,Harlingen-Wslco-Brnsvl-McA,
Harlingen-Wslco-Brnsvl-McA,Harlingen-Wslco-Brnsvl-McA,
HARLINGEN-WSLCO-BRNSVL-MCA,Harlingen-Wslco-Brnsvl-McA,
Harrisburg/Lancaster/Lebanon/York,Harrisburg-Lncstr-Leb-York,
Harrisburg-Lancaster-York PA,Harrisburg-Lncstr-Leb-York,
Harrisburg-Lncstr-Leb-York,Harrisburg-Lncstr-Leb-York,
HARRISBURG-LNCSTR-LEB-YORK,Harrisburg-Lncstr-Leb-York,
Harrisonburg,Harrisonburg,
HARRISONBURG,Harrisonburg,
Harrisonburg VA,Harrisonburg,
Hartford & New Haven,Hartford & New Haven,
HARTFORD & NEW HAVEN,Hartford & New Haven,
Hartford And New Haven CT,Hartford & New Haven,
Hartford/New Haven,Hartford & New Haven,
Hattiesburg/Laurel,Hattiesburg-Laurel,
Hattiesburg-Laurel,Hattiesburg-Laurel,
HATTIESBURG-LAUREL,Hattiesburg-Laurel,
Hattiesburg-Laurel MS,Hattiesburg-Laurel,
Helena,Helena,
HELENA,Helena,
Helena MT,Helena,
Honolulu,Honolulu,
HONOLULU,Honolulu,
Honolulu HI,Honolulu,
Houston,Houston,
HOUSTON,Houston,
Houston TX,Houston,
Huntsville AL,Huntsville AL,
Huntsville/Decatur/Florence,Huntsville AL,
HUNTSVILLE-DECATUR (FLOR),Huntsville AL,
Huntsville-Decatur (Florence) AL,Huntsville AL,
Idaho Falls/Pocatello,Idaho Fals-Pocatllo(Jcksn),
Idaho Falls-Pocatello ID,Idaho Fals-Pocatllo(Jcksn),
Idaho Fals-Pocatllo(Jcksn),Idaho Fals-Pocatllo(Jcksn),
IDAHO FALS-POCATLLO(JCKSN),Idaho Fals-Pocatllo(Jcksn),
Indianapolis,Indianapolis,
INDIANAPOLIS,Indianapolis,
Indianapolis IN,Indianapolis,
